,Date,Clinic #0,Clinic #1,Clinic #2,Clinic #3,Clinic #4,Clinic #5,Clinic #6,Clinic #7,Clinic #8,Clinic #9,Clinic #10,Clinic #11,Clinic #12,Clinic #13,Clinic #14,Clinic #15,Clinic #16,Clinic #17,Clinic #18,Clinic #19,Clinic #20,Clinic #21,Clinic #22,Clinic #23,Clinic #24,Clinic #25,Clinic #26,Clinic #27,Clinic #28,Clinic #29,Clinic #30,Clinic #31,Clinic #32,Clinic #33,Clinic #34,Clinic #35,Clinic #36,Clinic #37,Clinic #38,Clinic #39,Clinic #40,Clinic #41,Clinic #42,Clinic #43,Clinic #44,Clinic #45,Clinic #46,Clinic #47,Clinic #48,Clinic #49,Clinic #50,Clinic #51,Clinic #52,Clinic #53,Clinic #54,Clinic #55,Clinic #56,Clinic #57
0,2024-08-05,38.0,52.0,81.0,40.0,54.0,26.0,22.0,14.0,30.0,14.0,13.0,69.0,18.0,26.0,66.0,12.0,51.0,29.0,112.0,21.0,47.0,39.0,22.0,25.0,134.0,37.0,19.0,24.0,29.0,26.0,75.0,125.0,19.0,19.0,80.0,12.0,17.0,24.0,81.0,16.0,93.0,15.0,24.0,106.0,95.0,24.0,613.0,18.0,42.0,260.0,47.0,15.0,16.0,19.0,298.0,412.0,18.0,1139.0
1,2024-08-06,36.0,41.0,101.0,63.0,43.0,29.0,32.0,14.0,39.0,19.0,17.0,41.0,27.0,16.0,47.0,24.0,31.0,30.0,98.0,32.0,36.0,44.0,24.0,13.0,131.0,30.0,9.0,21.0,28.0,11.0,68.0,116.0,31.0,14.0,92.0,8.0,15.0,18.0,78.0,28.0,46.0,27.0,12.0,92.0,91.0,22.0,699.0,15.0,41.0,222.0,46.0,13.0,22.0,21.0,265.0,461.0,15.0,1426.0
2,2024-08-07,28.0,42.0,88.0,46.0,42.0,44.0,20.0,16.0,31.0,14.0,26.0,66.0,22.0,17.0,48.0,14.0,11.0,40.0,79.0,23.0,36.0,52.0,18.0,23.0,110.0,23.0,18.0,24.0,29.0,22.0,83.0,114.0,24.0,13.0,62.0,14.0,10.0,27.0,77.0,27.0,71.0,18.0,10.0,104.0,56.0,19.0,593.0,15.0,33.0,215.0,31.0,13.0,18.0,23.0,209.0,476.0,18.0,1065.0
3,2024-08-08,17.0,32.0,88.0,17.0,47.0,38.0,18.0,15.0,35.0,10.0,21.0,70.0,32.0,14.0,55.0,17.0,30.0,26.0,88.0,19.0,12.0,33.0,22.0,19.0,125.0,28.0,21.0,16.0,35.0,5.0,59.0,153.0,13.0,12.0,68.0,16.0,20.0,15.0,84.0,18.0,85.0,11.0,20.0,97.0,83.0,15.0,668.0,24.0,35.0,235.0,48.0,12.0,12.0,31.0,246.0,400.0,16.0,1106.0
4,2024-08-09,32.0,43.0,66.0,37.0,31.0,40.0,17.0,29.0,32.0,10.0,14.0,55.0,23.0,20.0,54.0,18.0,28.0,16.0,86.0,21.0,24.0,37.0,12.0,14.0,72.0,22.0,12.0,24.0,31.0,10.0,54.0,123.0,15.0,14.0,67.0,13.0,21.0,33.0,71.0,3.0,55.0,9.0,7.0,74.0,52.0,14.0,437.0,26.0,42.0,178.0,45.0,14.0,15.0,22.0,187.0,351.0,13.0,879.0
5,2024-08-10,4.0,6.0,18.0,0.0,0.0,0.0,4.0,2.0,5.0,1.0,1.0,11.0,1.0,0.0,19.0,2.0,10.0,4.0,26.0,4.0,8.0,5.0,10.0,3.0,42.0,0.0,2.0,9.0,4.0,7.0,16.0,155.0,0.0,5.0,19.0,2.0,2.0,0.0,6.0,0.0,7.0,0.0,0.0,0.0,15.0,1.0,33.0,6.0,15.0,16.0,10.0,5.0,5.0,8.0,42.0,44.0,0.0,197.0
6,2024-08-11,5.0,6.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,14.0,9.0,4.0,2.0,32.0,6.0,0.0,4.0,7.0,3.0,42.0,0.0,0.0,15.0,5.0,3.0,0.0,0.0,0.0,4.0,26.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,19.0,1.0,0.0,0.0,9.0,22.0,12.0,3.0,2.0,4.0,13.0,0.0,0.0,121.0
7,2024-08-12,42.0,59.0,87.0,34.0,52.0,31.0,32.0,21.0,48.0,15.0,18.0,64.0,19.0,28.0,51.0,23.0,56.0,13.0,100.0,21.0,30.0,36.0,13.0,25.0,125.0,35.0,20.0,30.0,37.0,23.0,76.0,153.0,29.0,16.0,89.0,16.0,12.0,30.0,79.0,8.0,81.0,9.0,19.0,96.0,76.0,15.0,633.0,25.0,32.0,235.0,56.0,12.0,13.0,23.0,257.0,419.0,9.0,1283.0
8,2024-08-13,42.0,44.0,106.0,58.0,39.0,43.0,16.0,32.0,39.0,20.0,15.0,50.0,26.0,19.0,49.0,25.0,27.0,26.0,84.0,27.0,27.0,44.0,30.0,15.0,125.0,36.0,19.0,18.0,39.0,7.0,72.0,155.0,38.0,13.0,93.0,13.0,14.0,17.0,80.0,21.0,61.0,19.0,7.0,83.0,113.0,13.0,679.0,23.0,43.0,260.0,57.0,20.0,8.0,24.0,253.0,403.0,20.0,1396.0
9,2024-08-14,40.0,45.0,96.0,43.0,46.0,68.0,29.0,26.0,25.0,13.0,26.0,55.0,20.0,23.0,56.0,22.0,15.0,42.0,76.0,28.0,21.0,49.0,16.0,18.0,129.0,28.0,15.0,29.0,33.0,12.0,77.0,134.0,15.0,22.0,76.0,14.0,12.0,18.0,97.0,18.0,76.0,13.0,17.0,112.0,110.0,21.0,593.0,22.0,41.0,215.0,40.0,7.0,16.0,23.0,196.0,439.0,18.0,1021.0
